transaction_id,customer_id,transaction_date,amount,product_name
TXN00000001,CUST00127,2024-08-15,95.50,Laptop
TXN00000002,CUST00345,2024-08-20,45.00,T-Shirt
TXN00000003,CUST00089,2024-09-01,120.00,Phone
TXN00000004,CUST00412,2024-09-05,32.50,Jeans
TXN00000005,CUST00001,2024-09-10,78.00,Lamp
TXN00000006,CUST00234,2024-09-15,55.00,Yoga Mat
TXN00000007,CUST00127,2024-09-20,110.00,Phone
TXN00000008,CUST00456,2024-09-25,28.00,T-Shirt
TXN00000009,CUST00089,2024-10-01,85.00,Laptop
TXN00000010,CUST00345,2024-10-05,42.00,Jeans
TXN00000011,CUST00001,2024-10-10,65.00,Yoga Mat
TXN00000012,CUST00412,2024-10-15,98.00,Lamp
TXN00000013,CUST00234,2024-10-20,150.00,Laptop
TXN00000014,CUST00127,2024-10-25,38.00,T-Shirt
TXN00000015,CUST00456,2024-11-01,72.00,Phone
TXN00000016,CUST00089,2024-11-05,55.00,Jeans
TXN00000017,CUST00345,2024-11-10,88.00,Lamp
TXN00000018,CUST00001,2024-11-15,45.00,Yoga Mat
TXN00000019,CUST00412,2024-11-20,125.00,Laptop
TXN00000020,CUST00234,2024-11-25,62.00,Phone
TXN00000021,CUST00127,2024-12-01,35.00,T-Shirt
TXN00000022,CUST00456,2024-12-05,95.00,Jeans
TXN00000023,CUST00089,2024-12-10,78.00,Lamp
TXN00000024,CUST00345,2024-12-15,52.00,Yoga Mat
TXN00000025,CUST00001,2024-12-20,140.00,Laptop
TXN00000026,CUST00412,2024-12-25,48.00,Phone
TXN00000027,CUST00234,2024-12-30,85.00,T-Shirt
TXN00000028,CUST00127,2025-01-05,68.00,Jeans
TXN00000029,CUST00456,2025-01-10,105.00,Lamp
TXN00000030,CUST00089,2025-01-15,42.00,Yoga Mat
TXN00000031,CUST00017,2024-08-18,88.50,Laptop
TXN00000032,CUST00298,2024-08-22,52.00,Phone
TXN00000033,CUST00156,2024-09-03,38.00,T-Shirt
TXN00000034,CUST00478,2024-09-08,115.00,Laptop
TXN00000035,CUST00023,2024-09-12,75.00,Jeans
TXN00000036,CUST00367,2024-09-18,48.00,Lamp
TXN00000037,CUST00189,2024-09-22,92.00,Phone
TXN00000038,CUST00421,2024-09-28,35.00,Yoga Mat
TXN00000039,CUST00056,2024-10-03,128.00,Laptop
TXN00000040,CUST00312,2024-10-08,58.00,T-Shirt
TXN00000041,CUST00017,2024-10-12,82.00,Jeans
TXN00000042,CUST00298,2024-10-18,95.00,Lamp
TXN00000043,CUST00156,2024-10-22,42.00,Yoga Mat
TXN00000044,CUST00478,2024-10-28,135.00,Phone
TXN00000045,CUST00023,2024-11-02,68.00,Laptop
TXN00000046,CUST00367,2024-11-08,52.00,T-Shirt
TXN00000047,CUST00189,2024-11-12,88.00,Jeans
TXN00000048,CUST00421,2024-11-18,72.00,Lamp
TXN00000049,CUST00056,2024-11-22,48.00,Yoga Mat
TXN00000050,CUST00312,2024-11-28,112.00,Phone
TXN00000051,CUST00017,2024-12-03,78.00,Laptop
TXN00000052,CUST00298,2024-12-08,62.00,T-Shirt
TXN00000053,CUST00156,2024-12-12,98.00,Jeans
TXN00000054,CUST00478,2024-12-18,55.00,Lamp
TXN00000055,CUST00023,2024-12-22,42.00,Yoga Mat
TXN00000056,CUST00367,2024-12-28,125.00,Phone
TXN00000057,CUST00189,2025-01-02,85.00,Laptop
TXN00000058,CUST00421,2025-01-08,38.00,T-Shirt
TXN00000059,CUST00056,2025-01-12,72.00,Jeans
TXN00000060,CUST00312,2025-01-18,108.00,Lamp
TXN00000061,CUST00045,2024-08-25,92.00,Laptop
TXN00000062,CUST00178,2024-08-30,45.00,Phone
TXN00000063,CUST00256,2024-09-05,68.00,T-Shirt
TXN00000064,CUST00389,2024-09-10,125.00,Laptop
TXN00000065,CUST00067,2024-09-15,58.00,Jeans
TXN00000066,CUST00423,2024-09-20,42.00,Lamp
TXN00000067,CUST00134,2024-09-25,88.00,Phone
TXN00000068,CUST00267,2024-09-30,52.00,Yoga Mat
TXN00000069,CUST00398,2024-10-05,145.00,Laptop
TXN00000070,CUST00078,2024-10-10,35.00,T-Shirt
TXN00000071,CUST00045,2024-10-15,72.00,Jeans
TXN00000072,CUST00178,2024-10-20,95.00,Lamp
TXN00000073,CUST00256,2024-10-25,48.00,Yoga Mat
TXN00000074,CUST00389,2024-10-30,115.00,Phone
TXN00000075,CUST00067,2024-11-05,82.00,Laptop
TXN00000076,CUST00423,2024-11-10,62.00,T-Shirt
TXN00000077,CUST00134,2024-11-15,78.00,Jeans
TXN00000078,CUST00267,2024-11-20,55.00,Lamp
TXN00000079,CUST00398,2024-11-25,42.00,Yoga Mat
TXN00000080,CUST00078,2024-11-30,135.00,Phone
TXN00000081,CUST00045,2024-12-05,98.00,Laptop
TXN00000082,CUST00178,2024-12-10,52.00,T-Shirt
TXN00000083,CUST00256,2024-12-15,88.00,Jeans
TXN00000084,CUST00389,2024-12-20,68.00,Lamp
TXN00000085,CUST00067,2024-12-25,45.00,Yoga Mat
TXN00000086,CUST00423,2024-12-30,118.00,Phone
TXN00000087,CUST00134,2025-01-05,92.00,Laptop
TXN00000088,CUST00267,2025-01-10,58.00,T-Shirt
TXN00000089,CUST00398,2025-01-15,75.00,Jeans
TXN00000090,CUST00078,2025-01-20,105.00,Lamp
TXN00000091,CUST00112,2024-08-28,82.00,Laptop
TXN00000092,CUST00245,2024-09-02,48.00,Phone
TXN00000093,CUST00378,2024-09-08,65.00,T-Shirt
TXN00000094,CUST00034,2024-09-12,128.00,Laptop
TXN00000095,CUST00167,2024-09-18,55.00,Jeans
TXN00000096,CUST00289,2024-09-22,38.00,Lamp
TXN00000097,CUST00156,2024-09-28,95.00,Phone
TXN00000098,CUST00467,2024-10-02,42.00,Yoga Mat
TXN00000099,CUST00112,2024-10-08,115.00,Laptop
TXN00000100,CUST00245,2024-10-12,68.00,T-Shirt
TXN00000101,CUST00378,2024-10-18,88.00,Jeans
TXN00000102,CUST00034,2024-10-22,52.00,Lamp
TXN00000103,CUST00167,2024-10-28,75.00,Yoga Mat
TXN00000104,CUST00289,2024-11-02,142.00,Phone
TXN00000105,CUST00467,2024-11-08,62.00,Laptop
TXN00000106,CUST00112,2024-11-12,45.00,T-Shirt
TXN00000107,CUST00245,2024-11-18,98.00,Jeans
TXN00000108,CUST00378,2024-11-22,55.00,Lamp
TXN00000109,CUST00034,2024-11-28,85.00,Yoga Mat
TXN00000110,CUST00167,2024-12-02,125.00,Phone
TXN00000111,CUST00289,2024-12-08,72.00,Laptop
TXN00000112,CUST00467,2024-12-12,48.00,T-Shirt
TXN00000113,CUST00112,2024-12-18,92.00,Jeans
TXN00000114,CUST00245,2024-12-22,35.00,Lamp
TXN00000115,CUST00378,2024-12-28,68.00,Yoga Mat
TXN00000116,CUST00034,2025-01-03,138.00,Phone
TXN00000117,CUST00167,2025-01-08,82.00,Laptop
TXN00000118,CUST00289,2025-01-13,58.00,T-Shirt
TXN00000119,CUST00467,2025-01-18,105.00,Jeans
TXN00000120,CUST00112,2025-01-22,42.00,Lamp
TXN00000121,CUST00198,2024-09-01,78.00,Laptop
TXN00000122,CUST00321,2024-09-06,52.00,Phone
TXN00000123,CUST00054,2024-09-11,95.00,T-Shirt
TXN00000124,CUST00187,2024-09-16,115.00,Laptop
TXN00000125,CUST00432,2024-09-21,42.00,Jeans
TXN00000126,CUST00098,2024-09-26,68.00,Lamp
TXN00000127,CUST00223,2024-10-01,88.00,Phone
TXN00000128,CUST00356,2024-10-06,35.00,Yoga Mat
TXN00000129,CUST00198,2024-10-11,125.00,Laptop
TXN00000130,CUST00321,2024-10-16,58.00,T-Shirt
TXN00000131,CUST00054,2024-10-21,72.00,Jeans
TXN00000132,CUST00187,2024-10-26,45.00,Lamp
TXN00000133,CUST00432,2024-11-01,98.00,Yoga Mat
TXN00000134,CUST00098,2024-11-06,135.00,Phone
TXN00000135,CUST00223,2024-11-11,62.00,Laptop
TXN00000136,CUST00356,2024-11-16,48.00,T-Shirt
TXN00000137,CUST00198,2024-11-21,85.00,Jeans
TXN00000138,CUST00321,2024-11-26,55.00,Lamp
TXN00000139,CUST00054,2024-12-01,42.00,Yoga Mat
TXN00000140,CUST00187,2024-12-06,118.00,Phone
TXN00000141,CUST00432,2024-12-11,92.00,Laptop
TXN00000142,CUST00098,2024-12-16,38.00,T-Shirt
TXN00000143,CUST00223,2024-12-21,75.00,Jeans
TXN00000144,CUST00356,2024-12-26,65.00,Lamp
TXN00000145,CUST00198,2024-12-31,48.00,Yoga Mat
TXN00000146,CUST00321,2025-01-05,145.00,Phone
TXN00000147,CUST00054,2025-01-10,82.00,Laptop
TXN00000148,CUST00187,2025-01-15,55.00,T-Shirt
TXN00000149,CUST00432,2025-01-20,98.00,Jeans
TXN00000150,CUST00098,2025-01-25,72.00,Lamp
TXN00000151,CUST00276,2024-09-04,68.00,Laptop
TXN00000152,CUST00409,2024-09-09,95.00,Phone
TXN00000153,CUST00142,2024-09-14,45.00,T-Shirt
TXN00000154,CUST00287,2024-09-19,128.00,Laptop
TXN00000155,CUST00356,2024-09-24,58.00,Jeans
TXN00000156,CUST00489,2024-09-29,42.00,Lamp
TXN00000157,CUST00122,2024-10-04,88.00,Phone
TXN00000158,CUST00255,2024-10-09,52.00,Yoga Mat
TXN00000159,CUST00276,2024-10-14,105.00,Laptop
TXN00000160,CUST00409,2024-10-19,72.00,T-Shirt
TXN00000161,CUST00142,2024-10-24,62.00,Jeans
TXN00000162,CUST00287,2024-10-29,78.00,Lamp
TXN00000163,CUST00489,2024-11-03,42.00,Yoga Mat
TXN00000164,CUST00122,2024-11-08,115.00,Phone
TXN00000165,CUST00255,2024-11-13,55.00,Laptop
TXN00000166,CUST00276,2024-11-18,85.00,T-Shirt
TXN00000167,CUST00409,2024-11-23,68.00,Jeans
TXN00000168,CUST00142,2024-11-28,48.00,Lamp
TXN00000169,CUST00287,2024-12-03,35.00,Yoga Mat
TXN00000170,CUST00489,2024-12-08,142.00,Phone
TXN00000171,CUST00122,2024-12-13,92.00,Laptop
TXN00000172,CUST00255,2024-12-18,45.00,T-Shirt
TXN00000173,CUST00276,2024-12-23,78.00,Jeans
TXN00000174,CUST00409,2024-12-28,62.00,Lamp
TXN00000175,CUST00142,2025-01-02,52.00,Yoga Mat
TXN00000176,CUST00287,2025-01-07,125.00,Phone
TXN00000177,CUST00489,2025-01-12,88.00,Laptop
TXN00000178,CUST00122,2025-01-17,58.00,T-Shirt
TXN00000179,CUST00255,2025-01-22,95.00,Jeans
TXN00000180,CUST00276,2025-01-27,42.00,Lamp
TXN00000181,CUST00354,2024-09-07,75.00,Laptop
TXN00000182,CUST00487,2024-09-12,108.00,Phone
TXN00000183,CUST00220,2024-09-17,52.00,T-Shirt
TXN00000184,CUST00365,2024-09-22,135.00,Laptop
TXN00000185,CUST00098,2024-09-27,65.00,Jeans
TXN00000186,CUST00231,2024-10-02,38.00,Lamp
TXN00000187,CUST00376,2024-10-07,95.00,Phone
TXN00000188,CUST00109,2024-10-12,48.00,Yoga Mat
TXN00000189,CUST00354,2024-10-17,118.00,Laptop
TXN00000190,CUST00487,2024-10-22,62.00,T-Shirt
TXN00000191,CUST00220,2024-10-27,78.00,Jeans
TXN00000192,CUST00365,2024-11-01,55.00,Lamp
TXN00000193,CUST00231,2024-11-06,42.00,Yoga Mat
TXN00000194,CUST00376,2024-11-11,128.00,Phone
TXN00000195,CUST00109,2024-11-16,85.00,Laptop
TXN00000196,CUST00354,2024-11-21,45.00,T-Shirt
TXN00000197,CUST00487,2024-11-26,72.00,Jeans
TXN00000198,CUST00220,2024-12-01,68.00,Lamp
TXN00000199,CUST00365,2024-12-06,35.00,Yoga Mat
TXN00000200,CUST00231,2024-12-11,145.00,Phone
